-- SG    KRG    KROG   PCOG
SGOF
0.63265306 0.45530548 0.16190082 0.04697363
0.64183673 0.46713123 0.15363066 0.04780182
0.65102041 0.47905763 0.14550632 0.04867543
0.66020408 0.49108384 0.13753047 0.04959876
0.66938776 0.50320902 0.12970591 0.05057670
0.67857143 0.51543240 0.12203565 0.05161487
0.68775510 0.52775317 0.11452284 0.05271972
0.69693878 0.54017057 0.10717087 0.05389869
0.70612245 0.55268387 0.09998331 0.05516047
0.71530612 0.56529233 0.09296404 0.05651522
0.72448980 0.57799523 0.08611718 0.05797497
0.73367347 0.59079189 0.07944719 0.05955400
0.74285714 0.60368161 0.07295889 0.06126951
0.75204082 0.61666374 0.06665752 0.06314235
0.76122449 0.62973761 0.06054879 0.06519815
0.77040816 0.64290259 0.05463900 0.06746878
